"GUIDELINE
2025-2026
Madhya Pradesh Government",,,,,,,,,,,,,,,,,
S.No.,Guideline Place,PLOT (SQM),,,BUILDING RESIDENTIAL (SQM),,,,BUILDING COMMERCIAL (SQM),,,BUILDING MULTI(SQM),,AGRICULTURAL LAND(HECTARE),,AGRICULTURAL PLOT (SQM),
,,Residential,Commercial,Industrial,RCC,RBC,Tin Shade,Kaccha Kabelu,Shop,Office,Godown,Residential,Commercial,Irrigated,Un Irrigated,Sub Clause wise Residential,Sub Clause wise Commercial
"Urban Local Body : GWALIOR, Sub-Area : NAGAR NIGAM GWALIOR, Ward : WARD 28, Tehsil : Murar",,,,,,,,,,,,,,,,,
386,AADIWASI MOHALLA,"7,000","10,500","7,000","20,000","14,200","12,600","11,000","34,500","32,900","31,300","16,000","27,600","6,40,00,000","6,40,00,000","7,000","10,500"
387,"BODHA NAGAR,KUMHARPURA (MAIN ROAD CHODKAR),JAGJIVAN NAGAR, JYOTI NAGAR,SHIV NAGAR (MAIN ROAD CHODKAR),SHIVAJI NAGAR (MAIN ROAD CHODKAR)","18,000","27,000","18,000","31,000","25,200","23,600","22,000","51,000","49,400","47,800","24,800","40,800","12,98,58,240","12,98,58,240","18,000","27,000"
388,GANDHI ROAD DWARKADHISH MANDIR SE BARADARI CHORAHE TAK,"1,00,000","1,50,000","1,00,000","1,13,000","1,07,200","1,05,600","1,04,000","1,74,000","1,72,400","1,70,800","90,400","1,39,200","38,00,00,000","38,00,00,000","1,00,000","1,50,000"
389,"GANDHI ROAD, (OLD REST HOUSE SE BARADARI CHORAHE TAK )","1,00,000","1,50,000","1,00,000","1,13,000","1,07,200","1,05,600","1,04,000","1,74,000","1,72,400","1,70,800","90,400","1,39,200","38,00,00,000","38,00,00,000","1,00,000","1,50,000"
390,"HARNAMPURA BAJARIYA,INDRA NAGAR,NEW INDRA NAGAR,KUBER AASHARM VIHAR","20,000","30,000","20,000","33,000","27,200","25,600","24,000","54,000","52,400","50,800","26,400","43,200","13,08,00,000","13,08,00,000","20,000","30,000"
391,KOSH COLONY,"6,400","9,600","6,400","19,400","13,600","12,000","10,400","33,600","32,000","30,400","15,520","26,880","6,40,00,000","6,40,00,000","6,400","9,600"
392,MAHATMA PHLE NAGR,"8,000","12,000","8,000","21,000","15,200","13,600","12,000","36,000","34,400","32,800","16,800","28,800","8,00,00,000","8,00,00,000","8,000","12,000"
S.No.,Guideline Place,PLOT (SQM),,,BUILDING RESIDENTIAL (SQM),,,,BUILDING COMMERCIAL (SQM),,,BUILDING MULTI(SQM),,AGRICULTURAL LAND(HECTARE),,AGRICULTURAL PLOT (SQM),
,,Residential,Commercial,Industrial,RCC,RBC,Tin Shade,Kaccha Kabelu,Shop,Office,Godown,Residential,Commercial,Irrigated,Un Irrigated,Sub Clause wise Residential,Sub Clause wise Commercial
-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12,-13,-14,-15,-16,-17,-18
,,,,,,,,,,,,,,,,,
393,SHAKTI VIHAR COLONY,"9,000","13,500","9,000","22,000","16,200","14,600","13,000","37,500","35,900","34,300","17,600","30,000","9,00,00,000","9,00,00,000","9,000","13,500"
394,SHANTI COLONY,"9,000","13,500","9,000","22,000","16,200","14,600","13,000","37,500","35,900","34,300","17,600","30,000","9,00,00,000","9,00,00,000","9,000","13,500"
395,mehra colloni gram mehra nitin nagar nunitin nagar,"22,000","33,000","22,000","35,000","29,200","27,600","26,000","57,000","55,400","53,800","28,000","45,600","12,00,00,000","12,00,00,000","22,000","33,000"
S.No.,Guideline Place,PLOT (SQM),,,BUILDING RESIDENTIAL (SQM),,,,BUILDING COMMERCIAL (SQM),,,BUILDING MULTI(SQM),,AGRICULTURAL LAND(HECTARE),,AGRICULTURAL PLOT (SQM),
,,Residential,Commercial,Industrial,RCC,RBC,Tin Shade,Kaccha Kabelu,Shop,Office,Godown,Residential,Commercial,Irrigated,Un Irrigated,Sub Clause wise Residential,Sub Clause wise Commercial
-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12,-13,-14,-15,-16,-17,-18
,,,,,,,,,,,,,,,,,
396,A.N.G GRAND  KE PHICE WALA CHATRA,"40,000","60,000","40,000","53,000","47,200","45,600","44,000","84,000","82,400","80,800","42,400","67,200","16,00,00,000","16,00,00,000","40,000","60,000"
397,ALKAPURI,"30,000","45,000","30,000","43,000","37,200","35,600","34,000","69,000","67,400","65,800","34,400","55,200","25,00,00,000","25,00,00,000","30,000","45,000"
398,BIJALIGHAR,"30,000","45,000","30,000","43,000","37,200","35,600","34,000","69,000","67,400","65,800","34,400","55,200","32,00,00,000","32,00,00,000","30,000","45,000"
399,CHAMBAL COLONY,"28,500","42,750","28,500","41,500","35,700","34,100","32,500","66,750","65,150","63,550","33,200","53,400","28,50,00,000","28,50,00,000","28,500","42,750"
400,CITY CENTAR OVER BRIJ SE LAGA CHATRA (RAGVENDRA NAGAR KO CHODKAR),"30,000","45,000","30,000","43,000","37,200","35,600","34,000","69,000","67,400","65,800","34,400","55,200","20,00,00,000","20,00,00,000","30,000","45,000"
401,D.B. CITY SE HURAWALI TIRAHA TAK SACHIN TENDULKAR MARG PAR,"1,00,000","1,50,000","1,00,000","1,13,000","1,07,200","1,05,600","1,04,000","1,74,000","1,72,400","1,70,800","90,400","1,39,200","30,00,00,000","30,00,00,000","1,00,000","1,50,000"
402,"DARPAN COLONY,NEW DARPAN COLONY","40,000","60,000","40,000","53,000","47,200","45,600","44,000","84,000","82,400","80,800","42,400","67,200","14,46,40,000","14,46,40,000","40,000","60,000"
403,FOREST COLONY,"40,000","60,000","40,000","53,000","47,200","45,600","44,000","84,000","82,400","80,800","42,400","67,200","28,50,00,000","28,50,00,000","40,000","60,000"
404,GANGA VIHAR,"20,000","30,000","20,000","33,000","27,200","25,600","24,000","54,000","52,400","50,800","26,400","43,200","7,20,00,000","7,20,00,000","20,000","30,000"
405,GAYATRI VIHAR,"20,000","30,000","20,000","33,000","27,200","25,600","24,000","54,000","52,400","50,800","26,400","43,200","13,60,00,000","13,60,00,000","20,000","30,000"
406,"GOBINDPURI,NEW GOBINDPURI (MAIN ROAD CHODKAR)","40,000","60,000","40,000","53,000","47,200","45,600","44,000","84,000","82,400","80,800","42,400","67,200","38,40,00,000","38,40,00,000","40,000","60,000"
407,GOVINDPURI MAIN ROAD PAR,"1,00,000","1,50,000","1,00,000","1,13,000","1,07,200","1,05,600","1,04,000","1,74,000","1,72,400","1,70,800","90,400","1,39,200","32,00,00,000","32,00,00,000","1,00,000","1,50,000"
408,HARSH NAGAR,"13,600","20,400","13,600","26,600","20,800","19,200","17,600","44,400","42,800","41,200","21,280","35,520","13,60,00,000","13,60,00,000","13,600","20,400"
S.No.,Guideline Place,PLOT (SQM),,,BUILDING RESIDENTIAL (SQM),,,,BUILDING COMMERCIAL (SQM),,,BUILDING MULTI(SQM),,AGRICULTURAL LAND(HECTARE),,AGRICULTURAL PLOT (SQM),
,,Residential,Commercial,Industrial,RCC,RBC,Tin Shade,Kaccha Kabelu,Shop,Office,Godown,Residential,Commercial,Irrigated,Un Irrigated,Sub Clause wise Residential,Sub Clause wise Commercial
-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12,-13,-14,-15,-16,-17,-18
409,JASWANT ENCLAVE,"15,000","22,500","15,000","28,000","22,200","20,600","19,000","46,500","44,900","43,300","22,400","37,200","12,80,00,000","12,80,00,000","15,000","22,500"
410,KAILASH NAGAR,"60,000","90,000","60,000","73,000","67,200","65,600","64,000","1,14,000","1,12,400","1,10,800","58,400","91,200","23,60,00,000","23,60,00,000","60,000","90,000"
411,KARMCHARI AAWAS VIKAS,"30,000","45,000","30,000","43,000","37,200","35,600","34,000","69,000","67,400","65,800","34,400","55,200","12,80,00,000","12,80,00,000","30,000","45,000"
412,"KRISHNA VIHAR,NEW KRISHANA VIHAR","18,000","27,000","18,000","31,000","25,200","23,600","22,000","51,000","49,400","47,800","24,800","40,800","12,80,00,000","12,80,00,000","18,000","27,000"
413,KRITIN ENCLAVE,"18,000","27,000","18,000","31,000","25,200","23,600","22,000","51,000","49,400","47,800","24,800","40,800","12,80,00,000","12,80,00,000","18,000","27,000"
414,KULSACHIV (V.C.) BANGLE SE HURAWALI TIRAH TAK SACHIN TENDULKAR MARG PAR,"1,00,000","1,50,000","1,00,000","1,13,000","1,07,200","1,05,600","1,04,000","1,74,000","1,72,400","1,70,800","90,400","1,39,200","40,00,00,000","40,00,00,000","1,00,000","1,50,000"
415,KUNDAN NAGAR,"18,000","27,000","18,000","31,000","25,200","23,600","22,000","51,000","49,400","49,400","24,800","40,800","7,20,00,000","7,20,00,000","18,000","27,000"
416,MAHALGAON,"40,000","60,000","40,000","53,000","47,200","45,600","44,000","84,000","82,400","80,800","42,400","67,200","7,20,00,000","7,20,00,000","40,000","60,000"
417,MILLENIYAM PLAZA (GOVINDPURI MAIN ROAD),"40,000","60,000","40,000","53,000","47,200","45,600","44,000","84,000","82,400","80,800","42,400","67,200","24,00,00,000","24,00,00,000","40,000","60,000"
418,PANT NAGAR,"25,000","37,500","25,000","38,000","32,200","30,600","29,000","61,500","59,900","58,300","30,400","49,200","12,80,00,000","12,80,00,000","25,000","37,500"
419,PRAYAS HOSPITAL CHORAHE SE UNIVERSITY CHORAHE TAK MAIN ROAD PAR,"1,00,000","1,50,000","1,00,000","1,13,000","1,07,200","1,05,600","1,04,000","1,74,000","1,72,400","1,70,800","90,400","1,39,200","32,00,00,000","32,00,00,000","1,00,000","1,50,000"
420,R.S. PURAM,"12,800","19,200","12,800","25,800","20,000","18,400","16,800","43,200","41,600","40,000","20,640","34,560","12,80,00,000","12,80,00,000","12,800","19,200"
421,RAGVENDRA NAGAR,"20,000","30,000","20,000","33,000","27,200","25,600","24,000","54,000","52,400","50,800","26,400","43,200","12,80,00,000","12,80,00,000","20,000","30,000"
422,RAMANUJ NAGAR,"20,000","30,000","20,000","33,000","27,200","25,600","24,000","54,000","52,400","50,800","26,400","43,200","12,80,00,000","12,80,00,000","20,000","30,000"
S.No.,Guideline Place,PLOT (SQM),,,BUILDING RESIDENTIAL (SQM),,,,BUILDING COMMERCIAL (SQM),,,BUILDING MULTI(SQM),,AGRICULTURAL LAND(HECTARE),,AGRICULTURAL PLOT (SQM),
,,Residential,Commercial,Industrial,RCC,RBC,Tin Shade,Kaccha Kabelu,Shop,Office,Godown,Residential,Commercial,Irrigated,Un Irrigated,Sub Clause wise Residential,Sub Clause wise Commercial
-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12,-13,-14,-15,-16,-17,-18
423,ROYAL ENCLAVE,"25,000","37,500","25,000","38,000","32,200","30,600","29,000","61,500","59,900","58,300","30,400","49,200","12,80,00,000","12,80,00,000","25,000","37,500"
424,SARASWATI NAGAR,"40,000","60,000","40,000","53,000","47,200","45,600","44,000","84,000","82,400","80,800","42,400","67,200","23,20,00,000","23,20,00,000","40,000","60,000"
425,SHARDA VIHAR,"30,000","45,000","30,000","43,000","37,200","35,600","34,000","69,000","67,400","65,800","34,400","55,200","25,00,00,000","25,00,00,000","30,000","45,000"
426,"SHRI RAM NAGAR, (BHADORIYA MARKET KE PHICHE) UNIVERSITY QUATORS","15,000","22,500","15,000","28,000","22,200","20,600","19,000","46,500","44,900","43,300","22,400","37,200","12,80,00,000","12,80,00,000","15,000","22,500"
427,SILVER ESTATE (GOVINDPURI MAIN ROAD SE ANDAR,"25,000","37,500","25,000","38,000","32,200","30,600","29,000","61,500","59,900","58,300","30,400","49,200","17,60,00,000","17,60,00,000","25,000","37,500"
428,SOGAT APARTMENT (GOVINDPURI MAIN ROAD),"40,000","60,000","40,000","53,000","47,200","45,600","44,000","84,000","82,400","80,800","42,400","67,200","24,00,00,000","24,00,00,000","40,000","60,000"
429,SURAKSHA VIHAR COLONY,"10,500","15,800","10,500","23,500","17,700","16,100","14,500","39,800","38,200","38,200","18,800","31,840","12,80,00,000","12,80,00,000","10,500","15,800"
430,VIVEKNAND NIDAM,"20,000","30,000","20,000","33,000","27,200","25,600","24,000","54,000","52,400","50,800","26,400","43,200","20,00,00,000","20,00,00,000","20,000","30,000"
S.No.,Guideline Place,PLOT (SQM),,,BUILDING RESIDENTIAL (SQM),,,,BUILDING COMMERCIAL (SQM),,,BUILDING MULTI(SQM),,AGRICULTURAL LAND(HECTARE),,AGRICULTURAL PLOT (SQM),
,,Residential,Commercial,Industrial,RCC,RBC,Tin Shade,Kaccha Kabelu,Shop,Office,Godown,Residential,Commercial,Irrigated,Un Irrigated,Sub Clause wise Residential,Sub Clause wise Commercial
-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12,-13,-14,-15,-16,-17,-18
,,,,,,,,,,,,,,,,,
431,#NAME?,"22,000","33,000","22,000","35,000","29,200","27,600","26,000","57,000","55,400","53,800","28,000","45,600","20,24,00,000","20,24,00,000","22,000","33,000"
432,"AAYKAR BHABAN KE BAGAL ME, AAYKAR BHABAN KE SAMNAY","80,000","1,20,000","80,000","93,000","87,200","85,600","84,000","1,44,000","1,42,400","1,40,800","74,400","1,15,200","28,00,00,000","28,00,00,000","80,000","1,20,000"
433,ADITYAZ RESIDENCY (SACHIN TENDULKAR MARG),"30,000","45,000","30,000","43,000","37,200","35,600","34,000","69,000","67,400","65,800","34,400","55,200","18,40,00,000","18,40,00,000","30,000","45,000"
434,AIRTEL OFFICE SE AAYKAR BHABAN TAK MAIN ROAD KE DONO OR KE VYAVSAIK STHAL,"1,00,000","1,50,000","1,00,000","1,13,000","1,07,200","1,05,600","1,04,000","1,74,000","1,72,400","1,70,800","90,400","1,39,200","28,00,00,000","28,00,00,000","1,00,000","1,50,000"
435,ANUPAM NAGAR  MAIN ROAD SE HATKAR,"40,000","60,000","40,000","53,000","47,200","45,600","44,000","84,000","82,400","80,800","42,400","67,200","28,00,00,000","28,00,00,000","40,000","60,000"
436,ANUPAM NAGAR MAIN ROAD PAR,"50,000","75,000","50,000","63,000","57,200","55,600","54,000","99,000","97,400","95,800","50,400","79,200","32,00,00,000","32,00,00,000","50,000","75,000"
437,ARJUN NAGAR,"30,000","45,000","30,000","43,000","37,200","35,600","34,000","69,000","67,400","65,800","34,400","55,200","29,90,00,000","29,90,00,000","30,000","45,000"
438,"BALBANT NAGAR,BALBANT NAGAR EXTENSION","50,000","75,000","50,000","63,000","57,200","55,600","54,000","99,000","97,400","95,800","50,400","79,200","29,90,00,000","29,90,00,000","50,000","75,000"
439,BEJNATH APARTMENT,"24,000","36,000","24,000","37,000","31,200","29,600","28,000","60,000","58,400","56,800","29,600","48,000","24,00,00,000","24,00,00,000","24,000","36,000"
"Urban Local Body : GWALIOR, Sub-Area : NAGAR NIGAM GWALIOR, Ward : WARD 30, Tehsil : Gird",,,,,,,,,,,,,,,,,
440,CHAMBAL COLONY,"30,000","45,000","30,000","43,000","37,200","35,600","34,000","69,000","67,400","65,800","34,400","55,200","25,00,00,000","25,00,00,000","30,000","45,000"
S.No.,Guideline Place,PLOT (SQM),,,BUILDING RESIDENTIAL (SQM),,,,BUILDING COMMERCIAL (SQM),,,BUILDING MULTI(SQM),,AGRICULTURAL LAND(HECTARE),,AGRICULTURAL PLOT (SQM),
,,Residential,Commercial,Industrial,RCC,RBC,Tin Shade,Kaccha Kabelu,Shop,Office,Godown,Residential,Commercial,Irrigated,Un Irrigated,Sub Clause wise Residential,Sub Clause wise Commercial
-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12,-13,-14,-15,-16,-17,-18
,,,,,,,,,,,,,,,,,
441,"CITY CENTAR,LINE NO. 1, LINE NO. 2","80,000","1,20,000","80,000","93,000","87,200","85,600","84,000","1,44,000","1,42,400","1,40,800","74,400","1,15,200","40,00,00,000","40,00,00,000","80,000","1,20,000"
442,D.B. CITY,"1,00,000","1,50,000","1,00,000","1,13,000","1,07,200","1,05,600","1,04,000","1,74,000","1,72,400","1,70,800","90,400","1,37,920","21,47,00,000","21,47,00,000","1,00,000","1,50,000"
443,D.B. CITY SE HURAWALI TIRAHA TAK SACHIN TENDULKAR MARG PAR,"1,00,000","1,50,000","1,00,000","1,13,000","1,07,200","1,05,600","1,04,000","1,74,000","1,72,400","1,70,800","90,400","1,39,200","40,00,00,000","40,00,00,000","1,00,000","1,50,000"
444,FOREST COLONY,"25,000","37,500","25,000","38,000","32,200","30,600","29,000","61,500","59,900","58,300","30,400","49,200","25,00,00,000","25,00,00,000","25,000","37,500"
445,GANDHI ROAD SE ALKAPURI TIRAHE TAK UNIVARSITY MAIN MARG,"1,00,000","1,50,000","1,00,000","1,13,000","1,07,200","1,05,600","1,04,000","1,74,000","1,72,400","1,70,800","90,400","1,39,200","38,00,00,000","38,00,00,000","1,00,000","1,50,000"
446,GANDHI ROAD SE BARADARI CHORAHE TAK MUKHYA ROAD,"1,00,000","1,50,000","1,00,000","1,13,000","1,07,200","1,05,600","1,04,000","1,74,000","1,72,400","1,70,800","90,400","1,39,200","38,00,00,000","38,00,00,000","1,00,000","1,50,000"
447,GREEN GARDAN,"60,000","90,000","60,000","73,000","67,200","65,600","64,000","1,14,000","1,12,400","1,10,800","58,400","91,200","21,60,00,000","21,60,00,000","60,000","90,000"
448,HARGOBINDPURAM,"20,000","30,000","20,000","33,000","27,200","25,600","24,000","54,000","52,400","50,800","26,400","43,200","16,00,00,000","16,00,00,000","20,000","30,000"
449,HOTAL TANSEN SE UNIVERSITY CHOREHE HOTE HUY ALKAPURI TIRAHA TAK,"60,000","90,000","60,000","73,000","67,200","65,600","64,000","1,14,000","1,12,400","1,10,800","58,400","91,200","32,00,00,000","32,00,00,000","60,000","90,000"
450,INCOMTEX OFFICE KE PHICHE CITY CENTAR VYAVSAIK YOJNA,"60,000","90,000","60,000","73,000","67,200","65,600","64,000","1,14,000","1,12,400","1,10,800","58,400","91,200","40,00,00,000","40,00,00,000","60,000","90,000"
451,JHANSI ROAD (JHANSI ROAD A. G. OFFICE SE OVER BRIJ TAK MAIN ROAD),"40,000","60,000","40,000","53,000","47,200","45,600","44,000","84,000","82,400","80,800","42,400","67,200","32,00,00,000","32,00,00,000","40,000","60,000"
452,JHANSI ROAD BANGLE,"32,000","48,000","32,000","45,000","39,200","37,600","36,000","72,000","70,400","68,800","36,000","57,600","32,00,00,000","32,00,00,000","32,000","48,000"
453,KAILASH VIHAR,"60,000","90,000","60,000","73,000","67,200","65,600","64,000","1,14,000","1,12,400","1,10,800","58,400","91,200","40,00,00,000","40,00,00,000","60,000","90,000"
S.No.,Guideline Place,PLOT (SQM),,,BUILDING RESIDENTIAL (SQM),,,,BUILDING COMMERCIAL (SQM),,,BUILDING MULTI(SQM),,AGRICULTURAL LAND(HECTARE),,AGRICULTURAL PLOT (SQM),
,,Residential,Commercial,Industrial,RCC,RBC,Tin Shade,Kaccha Kabelu,Shop,Office,Godown,Residential,Commercial,Irrigated,Un Irrigated,Sub Clause wise Residential,Sub Clause wise Commercial
-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12,-13,-14,-15,-16,-17,-18
454,KAVERI APARTMENT,"23,200","34,800","23,200","36,200","30,400","28,800","27,200","58,800","57,200","57,200","28,960","47,040","23,20,00,000","23,20,00,000","23,200","34,800"
455,KULSACHIV (V.C.) BANGLE SE HURAWALI TIRAH TAK SACHIN TENDULKAR MARG PAR,"1,00,000","1,50,000","1,00,000","1,13,000","1,07,200","1,05,600","1,04,000","1,74,000","1,72,400","1,70,800","90,400","1,39,200","40,00,00,000","40,00,00,000","1,00,000","1,50,000"
456,MAHARANA PRATAP NAGAR,"20,400","30,600","20,400","33,400","27,600","26,000","24,400","54,600","53,000","53,000","32,838","53,682","20,00,00,000","20,00,00,000","20,400","30,600"
457,MAHENDRA NAGAR,"24,000","36,000","24,000","37,000","31,200","29,600","28,000","60,000","58,400","56,800","29,600","48,000","24,00,00,000","24,00,00,000","24,000","36,000"
458,MANIK VILAS COLONY,"40,000","60,000","40,000","53,000","47,200","45,600","44,000","84,000","82,400","80,800","43,200","69,120","40,00,00,000","40,00,00,000","40,000","60,000"
459,MANOHAR ENCLAVE,"25,000","37,500","25,000","38,000","32,200","30,600","29,000","61,500","59,900","58,300","30,400","49,200","22,40,00,000","22,40,00,000","25,000","37,500"
460,MANSHPOORN HANUMAN MANDIR SE SANKAT MOCHAN HANUMAN MANDIR ROAD ( JHANSI LOOP ROAD ),"40,000","60,000","40,000","53,000","47,200","45,600","44,000","84,000","82,400","80,800","42,400","67,200","32,00,00,000","32,00,00,000","40,000","60,000"
461,MODARN GRAH NIRMAN SAHAKARI SAMITI,"25,000","37,500","25,000","38,000","32,200","30,600","29,000","61,500","59,900","58,300","30,400","49,200","18,00,00,000","18,00,00,000","25,000","37,500"
462,MOSAM VIBHAG SE LAGA BANGLE,"23,200","34,800","23,200","36,200","30,400","28,800","27,200","58,800","57,200","55,600","28,960","47,040","23,20,00,000","23,20,00,000","23,200","34,800"
463,MOUSAM COLONY,"23,200","34,800","23,200","36,200","30,400","28,800","27,200","58,800","57,200","55,600","28,960","47,040","23,20,00,000","23,20,00,000","23,200","34,800"
464,NEW CITY CENTAR,"60,000","90,000","60,000","73,000","67,200","65,600","64,000","1,14,000","1,12,400","1,10,800","58,400","91,200","14,40,00,000","14,40,00,000","60,000","90,000"
465,PATEL NAGAR,"80,000","1,20,000","80,000","93,000","87,200","85,600","84,000","1,44,000","1,42,400","1,40,800","74,400","1,15,200","30,00,00,000","30,00,00,000","80,000","1,20,000"
466,PRITAM VIHAR (MAIN ROAD CHODKAR),"25,000","35,500","25,000","38,000","32,200","30,600","29,000","61,500","59,900","58,300","30,400","49,200","23,20,00,000","23,20,00,000","25,000","35,500"
467,RAKCHA VIHAR,"15,000","22,500","15,000","28,000","22,200","20,600","19,000","46,500","44,900","43,300","22,400","37,200","16,00,00,000","16,00,00,000","15,000","22,500"
S.No.,Guideline Place,PLOT (SQM),,,BUILDING RESIDENTIAL (SQM),,,,BUILDING COMMERCIAL (SQM),,,BUILDING MULTI(SQM),,AGRICULTURAL LAND(HECTARE),,AGRICULTURAL PLOT (SQM),
,,Residential,Commercial,Industrial,RCC,RBC,Tin Shade,Kaccha Kabelu,Shop,Office,Godown,Residential,Commercial,Irrigated,Un Irrigated,Sub Clause wise Residential,Sub Clause wise Commercial
-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12,-13,-14,-15,-16,-17,-18
468,RAMKRISHAN AASHARM,"23,200","34,800","23,200","36,200","30,400","28,800","27,200","58,800","57,200","55,600","28,960","47,040","23,20,00,000","23,20,00,000","23,200","34,800"
469,SARASWATI NAGAR,"30,000","45,000","30,000","43,000","37,200","35,600","34,000","69,000","67,400","65,800","34,400","55,200","28,86,08,000","28,86,08,000","30,000","45,000"
470,SHAHID SMRATI GRAH NIRMAN SAHAKARI SAMITI,"30,000","45,000","30,000","43,000","37,200","35,600","34,000","69,000","67,400","65,800","34,400","55,200","14,40,00,000","14,40,00,000","30,000","45,000"
471,SHAHID UPMANU MARG (S. P. OFFICE SE GOVINDPURI ROAD TAK),"1,50,000","2,25,000","1,50,000","1,63,000","1,57,200","1,55,600","1,54,000","2,49,000","2,47,400","2,45,800","1,30,400","1,99,200","38,08,00,000","38,08,00,000","1,50,000","2,25,000"
472,SHAKSHI ENCLAVE,"20,000","30,000","20,000","33,000","27,200","25,600","24,000","54,000","52,400","50,800","26,400","43,200","16,00,00,000","16,00,00,000","20,000","30,000"
473,SHITLA COLONY,"15,000","22,500","15,000","28,000","22,200","20,600","19,000","46,500","44,900","43,300","22,400","37,200","12,80,00,000","12,80,00,000","15,000","22,500"
474,SUGANDHA APARTMENT,"24,000","36,000","24,000","37,000","31,200","29,600","28,000","60,000","58,400","56,800","29,600","48,000","24,00,00,000","24,00,00,000","24,000","36,000"
475,"SWASTH PRABANDHAN SANSTHAN SE
V. C. BANGLE TAK","40,000","60,000","40,000","53,000","47,200","45,600","44,000","84,000","82,400","80,800","42,400","67,200","40,00,00,000","40,00,00,000","40,000","60,000"
476,TAGOUR COLONY,"30,000","45,000","30,000","43,000","37,200","35,600","34,000","69,000","67,400","65,800","34,400","55,200","21,07,20,000","21,07,20,000","30,000","45,000"
477,TANSEN HOTAL KE SAMNEY SE CITY CENTAR CHORAHE TAK MAIN ROAD PAR,"80,000","1,20,000","80,000","93,000","87,200","85,600","84,000","1,44,000","1,42,400","1,40,800","74,400","1,15,200","48,00,00,000","48,00,00,000","80,000","1,20,000"
478,THATHIPUR GOAN ( MAIN ROAD CHODKAR),"40,000","60,000","40,000","53,000","47,200","45,600","44,000","84,000","82,400","80,800","42,400","67,200","22,04,00,000","22,04,00,000","40,000","60,000"
479,TULSI VIHAR COLONY,"30,000","45,000","30,000","43,000","37,200","35,600","34,000","69,000","67,400","65,800","34,400","55,200","16,00,00,000","16,00,00,000","30,000","45,000"
480,UNIVARSITY (ROAD SE ANDAR),"28,400","42,600","28,400","41,400","35,600","34,000","32,400","66,600","65,000","63,400","33,120","53,280","20,00,00,000","20,00,00,000","28,400","42,600"
481,UNIVARSITY ROAD SE ANDAR,"28,400","42,600","28,400","41,400","35,600","34,000","32,400","66,600","65,000","63,400","33,120","53,280","28,00,00,000","28,00,00,000","28,400","42,600"
S.No.,Guideline Place,PLOT (SQM),,,BUILDING RESIDENTIAL (SQM),,,,BUILDING COMMERCIAL (SQM),,,BUILDING MULTI(SQM),,AGRICULTURAL LAND(HECTARE),,AGRICULTURAL PLOT (SQM),
,,Residential,Commercial,Industrial,RCC,RBC,Tin Shade,Kaccha Kabelu,Shop,Office,Godown,Residential,Commercial,Irrigated,Un Irrigated,Sub Clause wise Residential,Sub Clause wise Commercial
-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12,-13,-14,-15,-16,-17,-18
482,VEKTESHVARAM PARISAR,"28,000","42,000","28,000","41,000","35,200","33,600","32,000","66,000","64,400","64,400","32,800","52,800","28,00,00,000","28,00,00,000","28,000","42,000"
483,VIDYA VIHAR (MAIN ROAD CHODKAR),"30,000","45,000","30,000","43,000","37,200","35,600","34,000","69,000","67,400","65,800","34,400","55,200","23,20,00,000","23,20,00,000","30,000","45,000"
484,VIVEKANAND COLONY,"30,000","45,000","30,000","43,000","37,200","35,600","34,000","69,000","67,400","65,800","34,400","55,200","30,00,00,000","30,00,00,000","30,000","45,000"
485,nu vivekanand colony,"25,000","37,500","25,000","38,000","32,200","30,600","29,000","61,500","59,900","58,300","30,400","49,200","20,00,00,000","20,00,00,000","25,000","37,500"
"Urban Local Body : GWALIOR, Sub-Area : NAGAR NIGAM GWALIOR, Ward : WARD 30, Tehsil : Gird",,,,,,,,,,,,,,,,,
486,shastri nagar,"20,000","30,000","20,000","33,000","27,200","25,600","24,000","54,000","52,400","50,800","26,400","43,200","16,00,00,000","16,00,00,000","20,000","30,000"
"Urban Local Body : GWALIOR, Sub-Area : NAGAR NIGAM GWALIOR, Ward : WARD 31, Tehsil : Citycenter",,,,,,,,,,,,,,,,,
487,"KALARI PADAV KE PICHE ROAD CHODKAR, PADAV SE LAGA SETRA MEN ROAD SE HATKAR ,GREEN COLONY PADAV,SHRI KRISNA DHARAMSHALA COLONY, LAXMANPURA","20,000","30,000","20,059","33,000","27,200","25,600","24,000","54,000","52,400","50,800","26,400","46,386","14,40,00,000","14,40,00,000","20,000","30,000"
488,PADAV CHORAHA VA LAGA SHETRA,"40,000","60,000","40,000","53,000","47,200","45,600","44,000","84,000","82,400","80,800","42,400","67,200","40,00,00,000","40,00,00,000","40,000","60,000"
489,RAILWAY PHATAK SE RAILWAY PUL TAK MAIN ROAD PAR,"40,000","60,000","40,000","53,000","47,200","45,600","44,000","84,000","82,400","80,800","42,400","67,200","24,00,00,000","24,00,00,000","40,000","60,000"
