"GUIDELINE
2025-2026
Madhya Pradesh Government",,,,,,,,,,,,,,,,,
S.No.,Guideline Place,PLOT (SQM),,,BUILDING RESIDENTIAL (SQM),,,,BUILDING COMMERCIAL (SQM),,,BUILDING MULTI(SQM),,AGRICULTURAL LAND(HECTARE),,AGRICULTURAL PLOT (SQM),
,,Residential,Commercial,Industrial,RCC,RBC,Tin Shade,Kaccha Kabelu,Shop,Office,Godown,Residential,Commercial,Irrigated,Un Irrigated,Sub Clause wise Residential,Sub Clause wise Commercial
21,"GHOSIPURA, KATIGHATI SATYA NARAYAN KI TAKRI,KATIGHATI JADU WALA MOHALLA,SHIV NAGAR ROAD CHODKAR","10,000","15,000","10,000","23,000","17,200","15,600","14,000","39,000","37,400","35,800","18,400","31,200","5,60,00,000","5,60,00,000","10,000","15,000"
22,KACHI SARAY A. B. ROAD PAR,"25,000","37,500","25,000","38,000","32,200","30,600","29,000","61,500","59,900","58,300","30,400","49,200","16,00,00,000","16,00,00,000","25,000","37,500"
23,"MAJDUROO KI BASTI,MUSALMANO KI BASTI,PANCHSHIL NAGAR,DR. AMBADKAR NAGAR,KUSHWAH MOHALLA","8,000","12,000","8,000","21,000","15,200","13,600","12,000","36,000","34,400","32,800","16,800","28,800","6,40,00,000","6,40,00,000","8,000","12,000"
24,RAMDAS GHATI MANTAL HOSPITAL ROAD,"25,000","37,500","25,000","38,000","32,200","30,600","29,000","61,500","59,900","58,300","30,400","49,200","16,00,00,000","16,00,00,000","25,000","37,500"
25,SHABD PRATAP AASHARM (MAIN ROAD PAR),"30,000","45,000","30,000","43,000","37,200","35,600","34,000","69,000","67,400","65,800","34,400","55,200","12,00,00,000","12,00,00,000","30,000","45,000"
26,URWAI GAT (MAIN ROAD PAR),"30,000","45,000","30,000","43,000","37,200","35,600","34,000","69,000","67,400","65,800","34,400","55,200","12,00,00,000","12,00,00,000","30,000","45,000"
27,"URWAI GAT (MAIN ROAD SE DOOR), SINDIYA NAGAR,SHURYA NAGAR, PRAGATI NAGAR,RAMPURI MOHALLA","20,000","30,000","20,000","33,000","27,200","25,600","24,000","54,000","52,400","50,800","26,400","43,200","9,00,00,000","9,00,00,000","20,000","30,000"
28,VINAY NAGAR SE LAGA CHATRA AAUKHANA,"25,000","37,500","25,000","38,000","32,200","30,600","29,000","61,500","59,900","58,300","30,400","49,200","13,20,00,000","13,20,00,000","25,000","37,500"
29,shabd pratap aashram (mukhya rod se hatkar)mahavir colony sunaron ki bagiya,"20,000","30,000","20,000","33,000","27,200","25,600","24,000","54,000","52,400","50,800","26,400","43,200","9,00,00,000","9,00,00,000","20,000","30,000"
S.No.,Guideline Place,PLOT (SQM),,,BUILDING RESIDENTIAL (SQM),,,,BUILDING COMMERCIAL (SQM),,,BUILDING MULTI(SQM),,AGRICULTURAL LAND(HECTARE),,AGRICULTURAL PLOT (SQM),
